,Unnamed: 0,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Year,Month,Date,Day_of_Week,Part_of_Day
0,0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:00,photo,studying,negative,0,2020,November,7,Saturday,Morning
1,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:00,photo,studying,negative,10,2021,June,17,Thursday,Afternoon
2,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:00,photo,studying,negative,15,2021,April,18,Sunday,Morning
3,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:00,photo,studying,negative,0,2021,January,6,Wednesday,Evening
4,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:00,photo,studying,positive,30,2020,August,23,Sunday,Afternoon
5,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:00,photo,studying,neutral,35,2020,December,7,Monday,Morning
6,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:00,photo,studying,positive,70,2021,April,11,Sunday,Evening
7,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:00,photo,studying,negative,5,2021,January,27,Wednesday,Morning
8,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:00,photo,studying,neutral,35,2021,April,1,Thursday,Night
9,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 05:05:00,photo,studying,positive,65,2020,August,4,Tuesday,Morning
10,10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:00,photo,studying,neutral,20,2020,November,7,Saturday,Morning
11,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:00,photo,studying,negative,15,2020,November,2,Monday,Morning
12,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:00,photo,studying,positive,30,2020,November,1,Sunday,Night
13,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:00,photo,studying,negative,5,2020,October,7,Wednesday,Evening
14,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:00,photo,studying,negative,15,2020,September,3,Thursday,Evening
15,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:00,photo,studying,positive,75,2021,February,24,Wednesday,Morning
16,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:00,photo,studying,neutral,35,2020,September,23,Wednesday,Morning
17,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:00,photo,studying,neutral,20,2021,February,24,Wednesday,Morning
18,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:00,photo,studying,positive,30,2021,May,22,Saturday,Evening
19,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03:00,photo,studying,positive,45,2021,January,31,Sunday,Afternoon
20,20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:00,photo,studying,neutral,35,2020,November,20,Friday,Evening
21,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:00,photo,studying,negative,12,2021,April,11,Sunday,Evening
22,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:00,photo,studying,positive,50,2021,June,13,Sunday,Afternoon
23,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:00,photo,studying,positive,60,2021,April,11,Sunday,Afternoon
24,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:00,photo,studying,negative,12,2021,March,2,Tuesday,Evening
25,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:00,photo,studying,negative,5,2020,June,27,Saturday,Evening
26,26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:00,photo,studying,negative,5,2021,May,9,Sunday,Night
27,27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:00,photo,studying,positive,70,2020,August,4,Tuesday,Night
28,28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:00,photo,studying,positive,75,2020,August,28,Friday,Night
29,29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25 08:21:00,photo,studying,positive,45,2020,August,25,Tuesday,Morning
30,30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:00,photo,studying,negative,15,2021,April,20,Tuesday,Night
31,31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:00,photo,studying,positive,30,2021,March,7,Sunday,Afternoon
32,32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:00,photo,studying,neutral,20,2021,May,24,Monday,Night
33,33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:00,photo,studying,positive,75,2021,January,24,Sunday,Morning
34,34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:00,photo,studying,negative,0,2021,April,9,Friday,Night
35,35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:00,photo,studying,positive,75,2021,February,2,Tuesday,Night
36,36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:00,photo,studying,positive,30,2021,February,4,Thursday,Night
37,37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:00,photo,studying,negative,10,2020,November,9,Monday,Night
38,38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:00,photo,studying,negative,15,2020,September,29,Tuesday,Afternoon
39,39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29 21:33:00,photo,studying,negative,10,2020,November,29,Sunday,Night
40,40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:00,photo,studying,positive,70,2021,February,13,Saturday,Morning
41,41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:00,photo,studying,positive,30,2020,July,14,Tuesday,Morning
42,42,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:00,photo,studying,neutral,20,2020,August,23,Sunday,Morning
43,43,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:00,photo,studying,negative,12,2021,May,10,Monday,Morning
44,44,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:00,photo,studying,negative,5,2021,March,15,Monday,Night
45,45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:00,photo,healthy eating,negative,10,2020,June,25,Thursday,Evening
46,46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:00,photo,healthy eating,positive,45,2020,September,13,Sunday,Night
47,47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:00,photo,healthy eating,neutral,35,2020,August,20,Thursday,Evening
48,48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:00,photo,healthy eating,negative,15,2021,February,11,Thursday,Night
49,49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:00,photo,healthy eating,negative,5,2021,March,8,Monday,Morning
50,50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:00,photo,healthy eating,negative,0,2021,March,28,Sunday,Night
51,51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:00,photo,healthy eating,negative,5,2021,May,25,Tuesday,Night
52,52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:00,photo,healthy eating,positive,50,2021,March,15,Monday,Afternoon
53,53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:00,photo,healthy eating,positive,65,2021,May,5,Wednesday,Afternoon
54,54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-08-31 00:21:00,photo,healthy eating,positive,65,2020,August,31,Monday,Night
